C0, "Alveolar type II cells"
C1, "B cells"
C2, "Alveolar macrophages"
C3, "T cells (naïve)"
C4, "Endothelial cells (arteriolar)"
C5, "Monocytes, both classical and non-classical"
C6, "T cells (memory), NKT cells, ILC"
C7, "NK cells"
C8, "Endothelial cells (capillary)"
C9, "Dendritic cells, type 2"
C10,"Peribronchial interstitial macrophages, Ccr2highMrc1low and Ccr2lowMrc1high subsets"
C11,"Dendritic cells, type 1 (and, perhaps, plasmacytoid DC)"
C12,"Fibroblasts"
C13,"Airway epithelial cells: ciliated (Foxj1+), club and basal"
C14,"Alveolar type I cells"
C15,"Neutrophils"
C16,"Proliferating/cycling cells"
C17,"Vascular smooth muscle cells"
