from,to
"Alveolar type II cells","Alveolar type II cells"
"B cells","B cells"
"Alveolar macrophages","Alveolar macrophages"
"T cells","T cells"
"Endothelial cells (arteriolar)","Endothelial cells (arteriolar)"
"T cells/NKT cells/ILC","T cells"
"NK cells","NK cells"
"Monocytes, non-classical","Monocytes, non-classical"
"Endothelial cells (capillary)","Endothelial cells (capillary)"
"Dendritic cells, type 2","Dendritic cells, type 2"
"Peribronchial interstitial macrophages","Peribronchial interstitial macrophages"
"Fibroblasts","Fibroblasts"
"Alveolar type I cells","Alveolar type I cells"
"Monocytes, classical","Monocytes, classical"
"Dendritic cells, type 1","Dendritic cells, type 2"
"Proliferating/cycling cells","Proliferating/cycling cells"
"Neutrophils","Neutrophils"
"Club cells","Ciliated cells/Club cells"
"Ciliated cells","Ciliated cells/Club cells"
"Smooth muscle cells","Novel cell type"
"Alveolar macrophages (doublets)","Novel cell type"
"Ccr7+ dendritic cells","Dendritic cells, type 2"
