from,to
"B cells","B cells"
"T cells","T cells (1)"
"T cells","T cells (2)"
"Alveolar type II cells","Alveolar type II cells"
"Neutrophils","Neutrophils"
"Neutrophils","Neutrophils (extravasated)"
"Alveolar macrophages","Alveolar macrophages"
"NK cells","NK cells"
"Monocytes, classical","Monocytes, classical/non-classical"
"Endothelial cells (capillary)","Endothelial cells (capillary)"
"Endothelial cells (arteriolar)","Endothelial cells (arteriolar)"
"Monocytes, non-classical","Monocytes, classical/non-classical"
"Dendritic cells, type 2","Dendritic cells, type 2"
"Dendritic cells, type 2","Dendritic cells, type 1"
"Fibroblasts","Fibroblasts, type 1"
"Fibroblasts","Fibroblasts, type 2"
"Peribronchial interstitial macrophages","Peribronchial interstitial macrophages"
"Ciliated cells/Club cells","Ciliated cells"
"Ciliated cells/Club cells","Club cells"
"Proliferating/cycling cells","Proliferating/cycling cells"
"Alveolar type I cells","Alveolar type I cells"
"Plasmacytoid dendritic cells","Novel cell type"
"Mast cells","Novel cell type"
