C0,"Alveolar type II cells"
C1,"Alveolar macrophages"
C2,"B cells"
C3,"T cells (1)"
C4,"T cells (2)"
C5,"Monocytes, classical/Monocytes, non-classical"
C6,"Dendritic cells, type 2"
C7,"Plasma cells"
C8,"Peribronchial interstitial macrophages"
C9,"Endothelial cells (capillary)"
C10,"Ciliated cells/Club cells"
C11,"NK cells"
C12,"Proliferating/cycling cells"
C13,"Fibroblasts"
C14,"Plasmacytoid dendritic cells"
C15,"Ccr7+ dendritic cells"
C16,"Endothelial cells (arteriolar)"
C17,"Mesothelial cells"
C18,"Alveolar type I cells"
C19,"Lymphatics"
