from,to
"Alveolar type II cells","Alveolar type II cells"
"Alveolar macrophages","Alveolar macrophages"
"B cells","B cells"
"T cells (1)","T cells"
"T cells (2)","T cells"
"Monocytes, classical/non-classical","Monocytes, classical"
"Monocytes, classical/non-classical","Monocytes, non-classical"
"Dendritic cells, type 2","Dendritic cells, type 2"
"Plasma cells","Novel cell type"
"Peribronchial interstitial macrophages","Peribronchial interstitial macrophages"
"Endothelial cells (capillary)","Endothelial cells (capillary)"
"Ciliated cells/Club cells","Ciliated cells/Club cells"
"NK cells","NK cells"
"Proliferating/cycling cells","Proliferating/cycling cells"
"Fibroblasts","Fibroblasts"
"Plasmacytoid dendritic cells","Plasmacytoid dendritic cells"
"Ccr7+ dendritic cells","Dendritic cells, type 2"
"Endothelial cells (arteriolar)","Endothelial cells (arteriolar)"
"Mesothelial cells","Novel cell type"
"Alveolar type I cells","Alveolar type I cells"
"Lymphatics","Novel cell type"
