"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd79a",2.22543355644703e-47,1.71262921546306,0.94,0.17,3.57916478883376e-43,"0","Cd79a"
"Cd74",2.55783582765019e-46,1.60994196222721,0.994,0.444,4.1137673616098e-42,"0","Cd74"
"H2-Aa",5.66715781017065e-46,1.45896056274901,0.983,0.394,9.11448990609745e-42,"0","H2-Aa"
"H2-Eb1",3.30057376330696e-45,1.45037907882433,0.955,0.31,5.30831278352659e-41,"0","H2-Eb1"
"H2-Ab1",1.98620596443916e-44,1.51335179584076,0.986,0.393,3.1944150526075e-40,"0","H2-Ab1"
"Ebf1",1.46676410977466e-43,1.600199928238,0.903,0.18,2.35899671775058e-39,"0","Ebf1"
"Ly6d",3.83900715275843e-36,1.51371776725828,0.823,0.171,6.17427520378138e-32,"0","Ly6d"
"Cd79b",7.09496963072999e-36,1.56206000203491,0.881,0.197,1.1410839657103e-31,"0","Cd79b"
"Rps27",1.79529895631063e-34,0.697249222218679,1,0.984,2.88737931143439e-30,"0","Rps27"
"Rps27rt",8.82744593224546e-30,0.704483110709233,0.991,0.915,1.41971812928304e-25,"0","Rps27rt"
"Ms4a1",1.28625829491003e-29,1.31082310249981,0.635,0.124,2.0686892157038e-25,"0","Ms4a1"
"Rpl18a",3.98985161013315e-29,0.588993517896086,1,0.966,6.41687834457715e-25,"0","Rpl18a"
"H2-DMb2",5.20284562510043e-28,1.52894068015628,0.733,0.151,8.36773661884902e-24,"0","H2-DMb2"
"Rps15a",3.67695559914933e-27,0.507297896403402,1,0.917,5.91364769011187e-23,"0","Rps15a"
"Rps20",6.49979390508257e-27,0.5549530886113,0.994,0.886,1.04536185375443e-22,"0","Rps20"
"Fau",1.61731134234104e-26,0.504077183705937,0.999,0.974,2.60112183188709e-22,"0","Fau"
"Ltb",6.23897594641905e-26,1.0315864612221,0.773,0.349,1.00341450146258e-21,"0","Ltb"
"Rpl13",1.06463853376585e-25,0.49631604412088,0.998,0.939,1.71225815385561e-21,"0","Rpl13"
"Rps24",1.44280151615838e-25,0.580972305053675,1,0.932,2.32045767843753e-21,"0","Rps24"
"Rpl17",3.58316861639365e-24,0.471975432664231,1,0.948,5.76281008574591e-20,"0","Rpl17"
"Rps19",7.77381485736303e-24,0.512078010207952,1,0.921,1.2502626435097e-19,"0","Rps19"
