"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd79a",6.04320332834241e-48,1.71262921546306,0.94,0.17,9.71928391297309e-44,"0","Cd79a"
"Cd74",7.60767245831019e-46,1.60994196222721,0.994,0.444,1.22354196147003e-41,"0","Cd74"
"H2-Aa",6.30885867469549e-45,1.45896056274901,0.983,0.394,1.01465374065128e-40,"0","H2-Aa"
"Ebf1",3.77053446162712e-44,1.600199928238,0.903,0.18,6.06415057463489e-40,"0","Ebf1"
"H2-Eb1",5.43536589472269e-44,1.45037907882433,0.955,0.31,8.74169896848251e-40,"0","H2-Eb1"
"H2-Ab1",8.26553418944253e-44,1.51335179584076,0.986,0.393,1.32934586368804e-39,"0","H2-Ab1"
"Cd79b",1.16463406876686e-35,1.56206000203491,0.881,0.197,1.87308097279774e-31,"0","Cd79b"
"Ly6d",1.51397846693571e-35,1.51371776725828,0.823,0.171,2.4349315683727e-31,"0","Ly6d"
"Rps27",1.16491558975112e-34,0.697249222218679,1,0.984,1.87353374299673e-30,"0","Rps27"
"Ms4a1",3.28447577036363e-30,1.31082310249981,0.635,0.124,5.28242238147583e-26,"0","Ms4a1"
"Rps15a",2.90594706270784e-29,0.507297896403402,1,0.917,4.67363466095301e-25,"0","Rps15a"
"Rps27rt",5.08898846196326e-29,0.704483110709233,0.991,0.915,8.18462014337551e-25,"0","Rps27rt"
"Rpl18a",3.33623523488662e-28,0.588993517896086,1,0.966,5.36566712826815e-24,"0","Rpl18a"
"Fau",5.0771409685167e-27,0.504077183705937,0.999,0.974,8.1655658196654e-23,"0","Fau"
"H2-DMb2",7.68076533318064e-27,1.52894068015628,0.733,0.151,1.23529748853544e-22,"0","H2-DMb2"
"Rps19",2.72213388161504e-26,0.512078010207952,1,0.921,4.37800792180147e-22,"0","Rps19"
"Rpl13",9.76219584520541e-25,0.49631604412088,0.998,0.939,1.57005395778439e-20,"0","Rpl13"
"Rps20",2.03478991175339e-24,0.5549530886113,0.994,0.886,3.27255261507298e-20,"0","Rps20"
"Rps24",2.45732672419686e-24,0.580972305053675,1,0.932,3.95211857052581e-20,"0","Rps24"
"Rpl13a",5.38042464895517e-24,0.517987181377934,0.999,0.945,8.6533369629146e-20,"0","Rpl13a"
"Ltb",6.83110819920112e-24,1.0315864612221,0.773,0.349,1.09864713167752e-19,"0","Ltb"
"Rpl17",2.54383417540584e-23,0.471975432664231,1,0.948,4.09124850430521e-19,"0","Rpl17"
"Gm43603",5.53068910000573e-23,1.46660902881528,0.62,0.11,8.89500727953921e-19,"0","Gm43603"
"Fcmr",1.26615916809082e-22,1.41886474326024,0.653,0.122,2.03636379004046e-18,"0","Fcmr"
"Rps13",1.2707158443903e-22,0.523388059129598,0.996,0.915,2.04369229253293e-18,"0","Rps13"
"Rps5",1.11210831970896e-20,0.462517114239676,0.994,0.908,1.78860381058792e-16,"0","Rps5"
"Rps21",1.73632722702561e-20,0.450998802913344,0.991,0.908,2.79253507922529e-16,"0","Rps21"
"Rps3a1",3.61554679586528e-20,0.405386810140382,0.997,0.906,5.81488391179013e-16,"0","Rps3a1"
"Rps15",5.17984903765715e-20,0.551734985448126,0.997,0.915,8.33075120726399e-16,"0","Rps15"
"Rpl8",6.75245471387594e-20,0.476047506731347,0.994,0.913,1.08599729163267e-15,"0","Rpl8"
"Rpl19",1.12124839504321e-19,0.42716190827913,0.997,0.921,1.80330379374799e-15,"0","Rpl19"
"Cd37",2.38817597330278e-19,1.0551300750949,0.653,0.274,3.84090341786287e-15,"0","Cd37"
"Rps7",2.49659251901404e-19,0.462376226664083,0.998,0.901,4.01526974833028e-15,"0","Rps7"
"Rps18",5.73570662116153e-19,0.418778863260552,0.998,0.899,9.2247369588141e-15,"0","Rps18"
"Rpl4",8.99084978544785e-19,0.489629442179421,0.973,0.858,1.44599837099358e-14,"0","Rpl4"
"Rpl9",9.75217553864274e-19,0.443905547809715,0.994,0.935,1.56844239187991e-14,"0","Rpl9"
