,ClusterID,Annotation
106053,1,AT2 Cell
106064,2,B Cell
106068,3,Alveolar macrophage_Ear2 high
106063,4,T Cell_Cd8b1 high
106082,5,Plasmacytoid dendritic cell
106096,6,NK Cell
106099,7,Eosinophil granulocyte
106081,8,Interstitial macrophage
106054,9,Dendritic cell_Naaa high
106077,10,Stromal cell_Dcn high
106103,11,Stromal cell_Inmt high
106151,12,Clara Cell
106134,13,Conventional dendritic cell_Gngt2 high
106088,14,AT1 Cell
106234,15,Conventional dendritic cell_Mgl2 high
106065,16,Nuocyte
106086,17,Endothelial cell_Tmem100 high
106061,18,Ciliated cell
106197,19,Endothelial cell_Kdr high
106058,20,Endothelial cells_Vwf high
106094,21,Neutrophil granulocyte
106067,22,Dividing dendritic cells
106059,23,Stromal cell_Acta2 high
106263,24,Dividing T cells
106405,25,Dividing cells
106885,26,Alveolar macrophage_Pclaf high
110035,27,Alveolar bipotent progenitor
106055,28,Ig−producing B cell
106056,29,Conventional dendritic cell_H2-M2 high
106175,30,Basophil
106084,31,Monocyte progenitor cell
106161,32,Conventional dendritic cell_Tubb5 high
