Annotation,AT2 Cell,B Cell,Alveolar macrophage_Ear2 high,T Cell_Cd8b1 high,Plasmacytoid dendritic cell,NK Cell,Eosinophil granulocyte,Interstitial macrophage,Dendritic cell_Naaa high,Stromal cell_Dcn high,Stromal cell_Inmt high,Clara Cell,Conventional dendritic cell_Gngt2 high,AT1 Cell,Conventional dendritic cell_Mgl2 high,Nuocyte,Endothelial cell_Tmem100 high,Ciliated cell,Endothelial cell_Kdr high,Endothelial cells_Vwf high,Neutrophil granulocyte,Dividing dendritic cells,Stromal cell_Acta2 high,Dividing T cells,Dividing cells,Alveolar macrophage_Pclaf high,Alveolar bipotent progenitor,Ig−producing B cell,Conventional dendritic cell_H2-M2 high,Basophil,Monocyte progenitor cell,Conventional dendritic cell_Tubb5 high
AT2 Cell,0,205,2,14,1,11,157,1,1,0,2,6,23,47,1,2,5,9,0,1,1,0,0,0,14,0,209,0,0,0,2,0
B Cell,43,0,1,1592,189,4,392,2,104,0,3,2,23,0,0,1,3,1,1,0,0,1,0,2,0,0,1,0,1,0,1,0
Alveolar macrophage_Ear2 high,0,8,0,3,20,3,170,0,0,0,0,0,19,0,0,0,6,1,0,2,0,0,1,0,0,290,0,0,0,0,0,0
T Cell_Cd8b1 high,1,32,0,0,7,69,163,0,0,0,0,1,1,0,0,366,2,0,1,0,0,0,2,176,0,0,0,0,0,0,1,0
Plasmacytoid dendritic cell,1,9,6,12,0,3,1,2,1,0,1,0,333,0,13,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0
NK Cell,5,18,1,314,0,0,9,0,2,0,0,0,2,0,0,15,2,0,2,0,0,0,0,173,0,0,0,0,2,3,0,0
Eosinophil granulocyte,3,121,22,11,5,0,0,0,0,1,0,0,8,0,0,1,1,0,0,0,57,0,1,0,0,6,0,0,1,0,1,0
Interstitial macrophage,1,1,2,5,31,0,0,0,0,0,0,0,9,0,25,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,1
Dendritic cell_Naaa high,0,0,0,1,2,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,44,0,0,0,0,0,0,3,0,0,1
Stromal cell_Dcn high,0,0,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stromal cell_Inmt high,1,3,0,3,1,1,7,0,3,11,0,0,0,0,0,1,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Clara Cell,7,1,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Conventional dendritic cell_Gngt2 high,4,2,1,22,267,2,14,2,2,0,1,0,0,1,3,0,0,0,0,1,7,0,1,0,0,1,0,0,0,0,1,0
AT1 Cell,1,0,0,15,1,1,0,1,0,7,1,0,0,0,0,0,3,1,0,1,0,0,1,0,0,1,16,0,0,0,0,0
Conventional dendritic cell_Mgl2 high,0,1,0,1,2,0,0,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15
Nuocyte,0,0,1,102,1,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Endothelial cell_Tmem100 high,4,1,0,3,1,0,12,0,0,0,1,1,5,0,0,1,0,0,145,89,0,0,0,0,0,0,0,0,0,0,0,0
Ciliated cell,3,1,0,10,1,0,20,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,1,0,1,12,0,0,0,0,0
Endothelial cell_Kdr high,1,1,1,1,0,2,7,0,0,0,0,0,1,0,0,2,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endothelial cells_Vwf high,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,47,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Neutrophil granulocyte,4,15,5,4,106,7,345,0,1,0,0,0,5,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Dividing dendritic cells,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
Stromal cell_Acta2 high,0,0,0,4,1,0,3,0,0,1,5,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Dividing T cells,0,1,0,7,0,5,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Dividing cells,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Alveolar macrophage_Pclaf high,0,0,11,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1,0
Alveolar bipotent progenitor,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ig−producing B cell,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conventional dendritic cell_H2-M2 high,0,0,0,0,0,1,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basophil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monocyte progenitor cell,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Conventional dendritic cell_Tubb5 high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
