,0
Cd74,17.006401500323257
Ftl1,8.022628826790411
Ifitm3,7.072421371980872
Tyrobp,6.942981666660442
Rplp0,6.592186861291581
S100a9,5.849403662631615
Slc34a2,4.930203133713755
Cd79a,2.912981760216598
Gzma,1.830492829956042
mt-Co1,1.5265546148468703
Lyz2,1.4664092361570058
Ltc4s,1.3315273047248757
Crip2,1.2419705880392615
mt-Atp6,1.1976838202457742
Tmsb4x,1.0475479784560622
mt-Co2,0.9823619661172585
mt-Co3,0.9799793892088784
Cd3g,0.9739077733860704
S100a8,0.9493949529850733
Egfl7,0.9295335545199448
mt-Nd1,0.8638707592912064
mt-Cytb,0.8489710038844926
Ebf1,0.8190786589464881
mt-Nd4,0.6567103216931797
Ace,0.6305573433273531
Chil3,0.5754726485544706
Ramp2,0.527457831340248
Acvrl1,0.5040054617463366
Cd79b,0.4725636660718644
Kdr,0.4525905919665401
Malat1,0.42366418147332663
Fcer1g,0.4224947648803291
Col3a1,0.38833905227274085
H2-Ab1,0.36378615615189547
Car4,0.3541553796032248
Cd3d,0.3481140634955732
Pmp22,0.3339663328340047
Treml4,0.2881440259542195
Rps27,0.2807165356747229
Clec14a,0.2625534727443156
Rpl18a,0.2573666810666783
Rnasel,0.24573448793886715
Rpl41,0.24494553241309977
Ptprb,0.22808498999385426
Nusap1,0.2157983016988788
Chil1,0.2064776003918471
Rps28,0.20598214468010423
Ly6d,0.20299869478284605
Rpl10,0.19981304301508515
mt-Nd2,0.1951973534942414
Tmsb10,0.19410509061453873
Bst2,0.1807857823151159
Fth1,0.17837099011657603
Rps3a1,0.17688300269820015
Eif1,0.17344175298673928
Rpl37a,0.1686441489562144
Prkar2b,0.168421548280409
Rpl4,0.1678192058045508
Tpt1,0.16649055952235653
Adgre4,0.16612816601327338
Plvap,0.16119471628477064
C1qa,0.15858854058682578
Rpl13a,0.1515259487574889
2810417H13Rik,0.14822049871065301
Rps6,0.1436388684003394
Fau,0.1436192551683617
H2-DMb1,0.14312635212485453
Cyp11a1,0.14239386336582657
F13a1,0.13785278000854298
Rplp2,0.13027347373922654
Rps29,0.12929728368779886
C1qb,0.12887330723539525
Wfdc2,0.1268235810462925
H2-Eb1,0.12498082811867664
Ednrb,0.12456448263467
Cfl1,0.12366832189466799
Rps23,0.12224386877328391
Rps13,0.1190280520256053
Pdgfra,0.11746530844640897
Atp6v1b2,0.11717999588828489
Ppia,0.11413922879296234
Chchd10,0.11295596450316878
Rpl30,0.1119945615835201
Rpl23a,0.1040519225357339
Ncl,0.10240190401555489
Arpc2,0.10065253662509964
Plac8,0.09918007106609192
Sftpc,0.09726780383481277
Plbd1,0.09722373536985979
Rpl9,0.09686669854861318
Rps18,0.0950947434306351
Gngt2,0.09485705331425569
Gng11,0.09346900535498025
Prrg3,0.09335050339693864
Cd3e,0.09111706851366498
Rpl35a,0.0906095687902412
Rps16,0.09030400428044429
Rps5,0.08811843246688156
Eef1a1,0.08806554712843802
Rpl38,0.0838163167871771
Plet1,0.08346149849146332
Actb,0.0833686579612989
Rpl26,0.08302956523076306
S100a1,0.07941280830919466
C1qc,0.07714555574870333
Cd300e,0.07616512495520844
Eno3,0.07464142762171633
Rpl13,0.07215452666891715
Cd52,0.072037157976028
Spi1,0.07063497194008447
Cyp2f2,0.06885541215012328
Rps2,0.06883001598095875
Cyp2b10,0.06779406237014096
Rpl19,0.06655839017141688
Rpl14,0.06606657968366794
Rplp1,0.06597504287047447
Mgp,0.06553732975534127
Ccl9,0.0646385938622191
Rps8,0.06434096902552945
Gda,0.06398850858428677
Rps4x,0.06394368318421469
Nebl,0.06228818703994087
Edf1,0.062047105256015776
S100a4,0.061340587593008304
Serf2,0.06055960747740256
Coro1a,0.0603370645827749
Cox7c,0.060148992089174735
Akr1a1,0.0597745313366077
Rps19,0.058537126108213614
Rpl36a,0.05837516793357665
Cdh5,0.05755171214282869
Gm9843,0.05676489362902784
Cybb,0.05368134274923532
