,0
Cd79a,26.541099726936814
Sftpa1,10.564503455015723
Fcer1g,9.318267976689226
Ifitm3,5.99326969434405
Rps9,5.13562064579323
S100a9,4.595524310042492
Ltc4s,3.321379477985578
Cd3g,2.7638787088500383
Slc34a2,2.2556121080878038
Gzma,1.888563002495637
Crip2,1.5577716482017836
Plet1,1.5143400289439386
Cd3d,1.1620276818798108
Lyz2,1.0138665166787426
S100a8,0.9387877490743052
Kdr,0.8279828960413275
Acvrl1,0.820714897147508
Ramp2,0.801745348274191
Ptprb,0.6745604467713427
Atp6v0d2,0.5884043111382166
Tmsb4x,0.5677442579142519
Cst3,0.5531049480733518
Cd74,0.5509875525990525
Rps28,0.5266002301647442
Gngt2,0.4775151299172535
Lgi3,0.4446978479271044
Vim,0.42360261207589056
Ccl5,0.4090447840753231
C1qa,0.3634357615439578
Cd300e,0.3234778800396962
Igfbp7,0.31100524347648545
Plac8,0.3081077426904724
Afap1l1,0.29893587703094204
Chil3,0.28112911893157766
Tmsb10,0.2785423750057838
Nrp1,0.2774446006115024
Egfl7,0.2762481528642824
Nusap1,0.25855562517030944
Plvap,0.2545723870497428
Thy1,0.24877781478955285
Col3a1,0.24378618781141995
H2-DMb2,0.2305328955491637
Cd79b,0.22584230105612071
H2-Eb1,0.21745250485980774
H2-Aa,0.21704402239190865
Rnasel,0.21342818812235842
Fth1,0.18555671844424945
Mgp,0.17625359799424903
Pdgfra,0.16786209682461212
Bst2,0.16693973263779596
Adgre4,0.16592145701987424
Calcrl,0.1641260673894423
Abi3,0.1599161297257924
Tyrobp,0.15904619029301395
Cyp2f2,0.1582599768103424
Ebf1,0.14840016405786413
Ccr2,0.14726193829938086
F13a1,0.13968288698608503
Cyp4b1,0.13900457308355005
S100a11,0.13041038332116814
Klrb1c,0.12620067057446346
Arf1,0.12035823951725025
Cldn5,0.10861798706610873
Cd209a,0.10493171817097043
Ncr1,0.10401531915811357
Gm43603,0.10359822025512637
C1qc,0.10287132693047048
Klra8,0.10175968706847148
Klre1,0.09918495726696352
Ace,0.09112531544094195
Tmem2,0.09015405283998859
H2-Ab1,0.08795230202177043
Actb,0.08632166012161752
Lat,0.08605164760685981
Efnb1,0.08528022535652807
Rps19,0.08503280171313042
Gpx3,0.08264897682380375
Ms4a6c,0.08213344530566506
Aldh1a1,0.08073530412995393
Cdh5,0.08054280555401899
Lypd2,0.07815310000269052
Arhgdib,0.07639172143732341
Cyp2b10,0.07087403332939049
Retnlg,0.06957616967361799
Ctss,0.06878492585334313
Pmp22,0.06828475536757438
Top2a,0.06546634610027656
Cyp11a1,0.06484503395305759
Il7r,0.06427532498530268
C1qb,0.0640313406537647
Car4,0.062268477797318485
Wfdc17,0.06122144097394916
Limd2,0.06015542289214149
Sftpd,0.05847759219098975
Ftl1,0.05654902552165145
Rrm2,0.055857328146521563
Eef1g,0.055184540587808355
Gm8369,0.051306558080783826
Serping1,0.05123105435875182
Rpl13a,0.05109228008077747
Cd22,0.05041460695303291
Mrc1,0.050025904527449386
Ppbp,0.04969014519646211
Abcg1,0.049677561609781117
Zfp111,0.04879559944137778
Il1b,0.048228978793428225
Gnb2l1,0.047870006584870665
Tgfbi,0.045796998307965145
Hmgn2,0.04419594127959037
Rpl3,0.042657435192886284
Eln,0.042514923078945235
Chchd2,0.042479917960815655
Rpl12,0.04229633757420156
Gsr,0.041503466684545916
Mzb1,0.040966638845850605
Eno3,0.040293124792602164
Cd3e,0.03914759564176945
Birc5,0.03771635437917835
Abca5,0.03688691673788863
Bank1,0.03676698367479803
Blnk,0.036614749423038266
Ccl3,0.03500225062006257
Rab18,0.03467792894291875
Col1a1,0.034608009827880794
S100a4,0.034515123348967676
Ccnb2,0.03449597761556437
2810417H13Rik,0.034239947586733786
Ccna2,0.0341728887612438
Crip1,0.03315191107959287
Sftpb,0.03294501727827433
Rps25,0.03217464725606415
Siglecg,0.03093506249502395
Ifitm2,0.03081646224284194
Ager,0.030141902338791576
Cav1,0.030089060708053894
Pdpn,0.028167376209582207
Samd3,0.027886771825264663
Nkg7,0.027698143010413193
Sparc,0.027087569884358995
Rabgap1l,0.02695174459466145
Itm2b,0.026501166023645585
Sparcl1,0.02582440319027473
Ogn,0.025529443722092884
Npc2,0.025506144727631196
Cenpa,0.025413285557174904
Rpl22l1,0.02448988520109812
Ccdc184,0.02365024876225101
Mki67,0.023589963891117022
1110059E24Rik,0.023534968893536398
Sec14l3,0.02314635449914822
Stmn1,0.023065466444275984
Npr3,0.022918285761604547
Apoe,0.021669424460751947
Egfl6,0.02149365202893084
Treml4,0.02138003965904402
Alox12,0.021319777277077415
Fcrl1,0.021248635750124697
Cryab,0.020699531995006296
Fabp1,0.02017565731633411
Ddit4,0.020150112912236846
Daxx,0.020141104613102805
Lck,0.01983694365790738
Ltbp4,0.019601613420940946
Rps6,0.01956999608390845
Lpl,0.01954920727348775
Dab2,0.019449607741596295
Rps27a,0.019333896499106065
Nr4a1,0.019039293244512527
Cbr2,0.01891114405673011
Pf4,0.018581420347880663
Tubb5,0.018326944949702273
mt-Atp6,0.01828974722483522
Ifitm1,0.01811532841726202
Lats2,0.018047461595137364
Cd200r3,0.017787667535522276
Igfbp4,0.017652394479636135
Rfc3,0.01675455578678806
Lst1,0.015767293724893827
Scd1,0.015765727823408963
Lyve1,0.01561452674044528
Siglech,0.01550937323450182
Gm10116,0.015303910812083238
Cxcr2,0.015275396170437975
Bre,0.015107218966872409
Hmcn1,0.01508176112936464
Malat1,0.014941974741335476
Eif4a3,0.014904162938133533
Rps17,0.014320776498526276
Chmp6,0.014065260930667314
Dapl1,0.013573563757411736
Msrb1,0.013325259227660993
Clec3b,0.013289967783730728
Npnt,0.013032739793764297
Sat1,0.012774178816178235
Rps27,0.012434146720726558
Kitl,0.012420594902004593
Sftpc,0.012292869793169053
Col1a2,0.012130852221682023
Tnfaip2,0.011761230515734761
Bcar3,0.011436161087727747
Gzmb,0.01125899974961863
Steap4,0.011177591401635567
Klra4,0.010925315548993309
Izumo1r,0.010814422213988019
Emp2,0.010739937992723228
Cma1,0.010728423945379142
Hopx,0.010680030706042365
Ms4a1,0.010545780321627713
Birc6,0.01034769783788268
Aamp,0.010335487914108146
Ifi27l2a,0.010309014433020213
Rpl36,0.010241622002125026
Fam65b,0.010192235874869516
Fcer1a,0.009929151447419975
Cdo1,0.009879182021719184
Carkd,0.009522669831270873
Gdf15,0.00947471225538399
Fxyd1,0.009332446458768679
S100a1,0.009151654897291838
Lef1,0.008951661786591984
Flt1,0.008877657962027368
Aqp1,0.008751382333324538
Gimap3,0.008528507268537417
Klf4,0.008382790190089829
AA467197,0.007961363770173762
Taf9b,0.007955770194991099
Cd7,0.007757292441989173
S1pr1,0.007547087677280328
Gm10263,0.007423779281003087
Col4a3,0.007390154528130231
Srgn,0.00729312478283176
Gemin6,0.007254671296113068
Ppp1r14a,0.007126769050590713
Rpl23,0.007076635017872707
Ly6c1,0.0070559201442253906
Rps11,0.007048595092613692
Lyl1,0.0070227878971363435
Mfap4,0.007002898017481604
Erdr1,0.006837910098017941
Rpl21,0.006577037219710115
Reep6,0.006517989855413512
Aqp5,0.006353530245305532
Thbd,0.006211572415179536
Bcl11b,0.006203116769017955
Itk,0.006188048037241238
Tpx2,0.006115062306053886
Pcolce2,0.0061132472115893784
Sidt1,0.006096688541766681
Clec4a2,0.006025362173638503
Rtkn2,0.005998937822368204
Tcf7,0.0058707773257293165
Hdc,0.005860496544512681
Tmem204,0.005787124070033914
Fcgr4,0.0057649308125768675
Hp,0.0056900874990119515
Uchl3,0.005639456229606264
Clec4a1,0.005586260336186002
Ube2s,0.0055803110839059596
Dlc1,0.005516250218364925
Ms4a2,0.005493045210060315
H3f3a,0.005472337751077053
Akap5,0.005456855458123924
Rpgrip1,0.005352370064263148
Cfap53,0.0051174324666168666
Fibin,0.005048815134581056
2700094K13Rik,0.00502568350733905
Pou2f2,0.004927473714876561
Ctsb,0.004890317162327336
mt-Co2,0.004810325445360267
Tagln,0.0047769732214979375
Ckb,0.0047271788170195495
Polr3d,0.004687617806179323
2310010G23Rik,0.004659765051011989
Pde3a,0.00458162160344263
Aif1,0.004559330798598538
Rpl7,0.0045066264543505655
Themis,0.0043827840618616675
Csrp3,0.004310414103842686
Gimap7,0.004294872751499321
Alox5ap,0.004251739749452293
Tspan1,0.00415618323332845
Sema3c,0.004139813731547427
Polr2c,0.004096971960599992
Trim30d,0.004093362192248411
Prtn3,0.004083771282541679
Relb,0.003846127769846027
Ear2,0.0038421243710862387
Gp1bb,0.003819325763493421
Ccr6,0.003764197085694814
Gm15912,0.003758476680862401
Psap,0.0036877954332698005
Tmem100,0.0036854264027799486
Wfdc2,0.003653041876345752
Ppp2cb,0.003632866448344948
Sepp1,0.003629117916151963
AW112010,0.003608667661677703
Cd5,0.0036011485794834996
Hmgb2,0.003552203210354225
Wdfy1,0.003452516500067535
Yipf4,0.003441241074656625
Ppfia1,0.0034271436046086523
Zfp772,0.0034238015178939775
C1qtnf7,0.003411518344889651
Ednrb,0.0034094757091373876
Mvb12b,0.0033819443529822823
Cd24a,0.003358007550121576
Xcl1,0.0032970426555987294
Flt3l,0.0032373694254906504
Pld4,0.003159061857433026
Zfhx2,0.003053518071521289
Ccr1,0.0030361725966565876
Klri2,0.003027157849547449
Klrb1b,0.002990418348097852
Klrk1,0.002960200572228557
Usp10,0.0029529368708811825
Gng11,0.0029019822977465392
Sik2,0.002855965737490948
Cd28,0.0028424970347443014
Slpi,0.002824077731125962
Mefv,0.0028144998573642484
Tpgs2,0.002805439955339975
H2afz,0.002777415591241562
H2-DMa,0.0027505588122405246
Bfar,0.002638601766429526
Myo18a,0.0026273297174621026
Atf1,0.002617029961950632
Ddx25,0.002598963485276513
Cd86,0.0025738167888077973
Igfbp5,0.002560165799941804
Glmn,0.002552193231206942
Taldo1,0.0025379604996492913
Trem3,0.0025310816617604335
Apln,0.0025255537735305047
Gsn,0.002478233828310081
Myl9,0.002447746287426938
Irf5,0.0024276055192898266
Cldn3,0.0024071057939853394
Klrb1a,0.0023224979371318237
Ctnnbip1,0.002192837611275236
Pla2g1b,0.00219242044560295
Hacd4,0.0021585776051813578
Tgtp1,0.0021541269109414504
Tpm1,0.0021408232677529527
Slamf6,0.0021272718425960737
Crim1,0.002041720429294208
Prr5,0.002040100981431267
1110032A03Rik,0.002039002217451781
Cldn18,0.002028114101528598
Mcpt8,0.0020277107089917727
Eif1,0.0019943768465067752
Fmo2,0.00198878968987961
Il1f9,0.0019460933224468928
Gm9733,0.0019446416659365951
Dnase1l3,0.0019133280940224248
Calca,0.0018962420981896385
Igfbp2,0.0018417467685526976
Ulk1,0.0018383410101081288
Prdx6,0.001837004976834305
Gpihbp1,0.0017637954679543173
Fam204a,0.00176091402905776
Cd33,0.0017529450897008666
Mtmr14,0.0017417391450227349
Snx5,0.0017352227102084227
Emc6,0.001733665098827639
Abcb10,0.0017256229183570833
Dgcr14,0.0017163442529331409
Ctsd,0.0017128123969448418
Il27ra,0.0017115361624526352
Dusp18,0.0017108312376902133
Podxl,0.0016996736677221587
Mcf2l,0.0016741786448560996
Scgb1a1,0.0016716174823106164
Myo1b,0.0016628262331456285
Efcab9,0.0016535388043303785
Slco2a1,0.0016481983846784712
Rpl13,0.0016342792758746775
Dusp14,0.0016149170513560832
Zfp868,0.001612463984747612
Tspan18,0.0016097939548220534
Serpinb10,0.0016018725458730447
Rapgef3,0.0015562536518886386
Efhd2,0.0015262816831790023
Ar,0.0014995010438613166
1700001C02Rik,0.001484163567414291
Rps16,0.0014723634810444109
Tcf4,0.0014439419923977668
Ngp,0.001434226729920049
Gm9843,0.00138722855380962
Bgn,0.0013798191434565407
Camp,0.0013754647857206685
Ccl9,0.0013689484282438985
Sash1,0.0013661240932588041
Mdm1,0.0013444577613526236
Guca1b,0.001315121705714106
Gpr132,0.0013092127323124894
Fcmr,0.001304344984928381
Pdia3,0.00129325570365098
Rpl8,0.0012914131898202701
Cd52,0.0012700326843328275
Usp11,0.0012695312559977945
Nlgn2,0.0011836305867625359
Cd160,0.001173242079164869
Ikzf2,0.0011412394914005958
Pin1,0.0011231359429749806
Sulf1,0.0011124290635316264
Slc6a13,0.0011007731780073382
Klk14,0.0010998284468043398
Adgrl4,0.0010976271756103276
Rfwd3,0.00109258426067478
Bdnf,0.001064853816451548
Nudt16l1,0.0010628882207044015
Cd37,0.0010535181698721426
Bcl11a,0.0010282819725211246
Fes,0.0010262739402554023
Rad23a,0.0010155526313876204
Wdr89,0.001014736593622858
Ankib1,0.0010076634686152488
Arnt,0.0010046978334855843
Rasgrp2,0.0009965431232169034
Tra2b,0.0009860888392539385
Rps15a,0.0009672197870732621
H2afy,0.0009532347284511195
mt-Co1,0.0009470853718435695
Scn7a,0.0009455474489817615
Adam33,0.0009385120312122924
Cdk1,0.0009370223563482554
Tnfrsf18,0.000928036562375318
Dhx32,0.0009110673795371123
Polr3e,0.0009063597737586378
Fbxo32,0.0009034249396219314
Cited4,0.0008998248194858467
AU040320,0.0008949226488543517
Rpl7a,0.0008917695228956302
Acin1,0.0008625757375273168
Arhgef15,0.0008345463017984824
Hoxb7,0.0008341295662044379
D13Ertd608e,0.000825313597693174
Runx2,0.0008187882567140762
Ube2c,0.0007923720678089149
Polb,0.0007903400717636812
2900052N01Rik,0.0007688222847912913
Crlf3,0.0007614121184154733
Col5a1,0.0007493649072051884
Sepsecs,0.0007266179517572016
Aida,0.0007237576782669264
Cd4,0.000718581622585269
Fam217b,0.0006760953436960662
Zcchc18,0.0006735797691344325
Zfp568,0.000673101088918842
