"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sftpb",9.4096982724445e-102,2.64203702360977,0.773,0.128,2.20657424488824e-97,"1","Sftpb"
"Sftpa1",2.68086618639786e-99,2.84052205945338,0.74,0.086,6.28663120710298e-95,"1","Sftpa1"
"Sftpc",6.07387946796424e-99,2.99789974821381,0.702,0.058,1.42432473523761e-94,"1","Sftpc"
"Sftpd",1.49367744589166e-87,2.37288160131418,0.7,0.11,3.50267361061593e-83,"1","Sftpd"
"Slc34a2",3.23059425531268e-82,2.04262883170783,0.69,0.132,7.57574352870823e-78,"1","Slc34a2"
"Cxcl15",2.06775759600713e-81,2.34275414312718,0.691,0.136,4.84889156263672e-77,"1","Cxcl15"
"Chil1",1.63367814880103e-73,2.02003728806728,0.671,0.154,3.83097525893841e-69,"1","Chil1"
"Scd1",1.11178577534143e-59,1.69317209327183,0.736,0.233,2.60713764317566e-55,"1","Scd1"
"Lyz2",2.7172923123298e-59,1.69175980683614,0.654,0.217,6.37205047241339e-55,"1","Lyz2"
"Cbr2",2.83709231120589e-59,1.33274050663139,0.704,0.162,6.65298146977782e-55,"1","Cbr2"
"Npc2",4.0696814731998e-59,1.80449348946977,0.662,0.209,9.54340305465352e-55,"1","Npc2"
"S100g",5.43051337316519e-56,1.53908847279728,0.65,0.18,1.27345538600724e-51,"1","S100g"
"Napsa",3.16728869620577e-55,1.45087276562497,0.699,0.25,7.42729199260252e-51,"1","Napsa"
"Sfta2",4.21553260565874e-54,1.48373510651476,0.673,0.188,9.88542396026976e-50,"1","Sfta2"
"Rnase4",8.75469574271334e-53,1.30041014800224,0.655,0.239,2.05297615166628e-48,"1","Rnase4"
"Wfdc2",1.579223790414e-51,1.3502185199435,0.722,0.243,3.70327978852084e-47,"1","Wfdc2"
"Lamp3",3.55373390301851e-48,1.67691040932153,0.517,0.075,8.33350600257841e-44,"1","Lamp3"
"Hc",7.96214948325736e-46,1.42127876293204,0.606,0.169,1.86712405382385e-41,"1","Hc"
"Lpcat1",4.31792707764637e-40,1.42553172421303,0.539,0.119,1.01255389970807e-35,"1","Lpcat1"
"Elovl1",1.9050387930885e-37,1.31549823411481,0.609,0.209,4.46731596979254e-33,"1","Elovl1"
"Chchd10",5.16140415878224e-28,0.942524959363305,0.575,0.21,1.21034927523443e-23,"1","Chchd10"
"Lcn2",1.05096652902625e-25,0.956217814854138,0.559,0.196,2.46451651056656e-21,"1","Lcn2"
"Cd63",6.29446829404942e-19,0.702494980253712,0.543,0.265,1.47605281495459e-14,"1","Cd63"
"mt-Nd2",1.70325549559026e-18,0.815949563037322,0.62,0.428,3.99413413715916e-14,"1","mt-Nd2"
"Ctsh",6.78422003689763e-18,0.776002264559125,0.512,0.257,1.59089959865249e-13,"1","Ctsh"
"mt-Cytb",1.86842683135594e-16,0.687887819584548,0.663,0.518,4.38146091952967e-12,"1","mt-Cytb"
"mt-Nd4",3.9065730742476e-12,0.682688043666444,0.651,0.479,9.16091385911063e-08,"1","mt-Nd4"
"mt-Nd1",2.16830163868738e-11,0.478637130875096,0.675,0.622,5.08466734272191e-07,"1","mt-Nd1"
"mt-Nd5",1.72797636738834e-07,0.479539891558133,0.726,0.537,0.00405210458152565,"1","mt-Nd5"
"mt-Co1",9.93262606237951e-07,0.369857656205888,0.584,0.456,0.0232920081162799,"1","mt-Co1"
"Ighm",1.12703032472483e-113,2.07731376711601,0.788,0.099,2.64288611147973e-109,"3","Ighm"
"Igkc",4.80917244873694e-102,2.02198697981372,0.715,0.054,1.12775093922881e-97,"3","Igkc"
"Cd79a",3.39939620404977e-87,2.31753837988819,0.707,0.085,7.97158409849672e-83,"3","Cd79a"
"Cd74",7.869477982886e-85,1.06020958160254,0.867,0.292,1.84539258698677e-80,"3","Cd74"
"Ly6d",2.32835996984833e-78,2.55261006554508,0.618,0.046,5.46000412929434e-74,"3","Ly6d"
"Cd79b",1.23704028938617e-65,2.05948216900728,0.624,0.099,2.90085947861056e-61,"3","Cd79b"
"H2-Eb1",3.29742483724818e-39,0.430882000777007,0.514,0.175,7.73246124334698e-35,"3","H2-Eb1"
"Ly6e",4.31695092620234e-38,0.733917522090567,0.87,0.662,1.01232499219445e-33,"3","Ly6e"
"Rps271",3.77049852575843e-36,0.923064722243857,0.761,0.607,8.84181904290351e-32,"3","Rps27"
"Rps3a11",2.0764603988038e-31,0.582314226305428,0.87,0.738,4.86929963519491e-27,"3","Rps3a1"
"H2-Ab1",3.91631428488749e-30,0.43966829592992,0.549,0.247,9.18375699806117e-26,"3","H2-Ab1"
"Rps19",2.0021524975559e-29,0.543535999869385,0.922,0.823,4.69504760676859e-25,"3","Rps19"
"H2-Aa",6.07923562684661e-29,0.569034343279113,0.56,0.261,1.42558075449553e-24,"3","H2-Aa"
"Rps71",1.26912557599355e-28,0.690576959408654,0.806,0.644,2.97609947570488e-24,"3","Rps7"
"Rps91",1.7549611902452e-28,0.479646829863745,0.917,0.812,4.11538399112499e-24,"3","Rps9"
"Rps14",1.21145416146e-26,0.428222188033299,0.922,0.86,2.84086000862369e-22,"3","Rps14"
"Rps15a",2.12527898384166e-26,0.527297519017713,0.872,0.756,4.98377921710869e-22,"3","Rps15a"
"Rps161",8.37665370058663e-25,0.562721580839757,0.743,0.609,1.96432529278756e-20,"3","Rps16"
"Rpl37a1",1.88870762655709e-24,0.488591237150725,0.876,0.782,4.42901938427637e-20,"3","Rpl37a"
